Anaa Airport,AAA
Millicent Airport,MLR
Frank Wiley Field,MLS
Monroe Regional Airport,MLU
Merluna Airport,MLV
Spriggs Payne Airport,MLW
Malatya ErhaÃ§ Airport,MLX
Manley Hot Springs Airport,MLY
Cerro Largo International Airport,MLZ
Memanbetsu Airport,MMB
Ciudad Mante National Airport,MMC
Minami-Daito Airport,MMD
Durham Tees Valley Airport,MME
Mamfe Airport,MMF
Mount Magnet Airport,MMG
Mammoth Yosemite Airport,MMH
McMinn County Airport,MMI
Matsumoto Airport,MMJ
Murmansk Airport,MMK
Southwest Minnesota Regional Airport - Marshall/Ryan Field,MML
Middlemount Airport,MMM
Maio Airport,MMO
Mbala Airport,MMQ
Selfs Airport,MMS
Mc Entire Joint National Guard Base,MMT
Morristown Municipal Airport,MMU
Mal Airport,MMV
MalmÃ¶ Sturup Airport,MMX
Miyako Airport,MMY
Maimana Airport,MMZ
Melangguane Airport,MNA
Muanda Airport,MNB
Nacala Airport,MNC
Medina Airport,MND
Mungeranie Airport,MNE
Mana Island Airport,MNF
Maningrida Airport,MNG
Rustaq Airport,MNH
John A. Osborne Airport,MNI
W. H. Bramble Airport,MNI
Mananjary Airport,MNJ
Maiana Airport,MNK
Ninoy Aquino International Airport,MNL
Menominee Regional Airport,MNM
Marion Municipal Airport,MNN
Manono Airport,MNO
Maron Island Airport,MNP
Monto Airport,MNQ
Mongu Airport,MNR
Mansa Airport,MNS
Minto Al Wright Airport,MNT
Mawlamyine Airport,MNU
Macdonald Downs Airport,MNW
ManicorÃ© Airport,MNX
Mono Airport,MNY
Manassas Regional Airport/Harry P. Davis Field,MNZ
Orestes Acosta Airport,MOA
Mobile Regional Airport,MOB
MÃ¡rio Ribeiro Airport,MOC
Modesto City Co-Harry Sham Field,MOD
Momeik Airport,MOE
Maumere(Wai Oti) Airport,MOF
Mong Hsat Airport,MOG
Maleo Airport,MOH
Mitiaro Island Airport,MOI
Moengo Airstrip,MOJ
Molde Airport,MOL
Letfotar Airport,MOM
Mount Cook Airport,MON
Moomba Airport,MOO
Morondava Airport,MOQ
Minot International Airport,MOT
Mountain Village Airport,MOU
Moranbah Airport,MOV
Monterrey Airport,MOY
Moorea Airport,MOZ
Katima Mulilo Airport,MPA
Miami Seaplane Base,MPB
Muko Muko Airport,MPC
Sindhri Tharparkar Airport,MPD
Griswold Airport,MPE
Mapoda Airport,MPF
Makini Airport,MPG
Godofredo P. Ramos Airport,MPH
Mamitupo Airport,MPI
Petit Jean Park Airport,MPJ
Mokpo Airport,MPK
Montpellier-MÃ©diterranÃ©e Airport,MPL
Maputo Airport,MPM
Mount Pleasant Airport,MPN
Pocono Mountains Municipal Airport,MPO
Mulatupo Airport,MPP
Maliana airport,MPT
Maliana Airport,MPT
Mapua(Mabua) Airport,MPU
Edward F Knapp State Airport,MPV
Mariupol International Airport,MPW
Miyanmin Airport,MPX
Maripasoula Airport,MPY
Mount Pleasant Municipal Airport,MPZ
Mandora Airport,MQA
Macomb Municipal Airport,MQB
Miquelon Airport,MQC
Maquinchao Airport,MQD
Marqua Airport,MQE
Magnitogorsk International Airport,MQF
Midgard Airport,MQG
MinaÃ§u Airport,MQH
Moma Airport,MQJ
San MatÃ­as Airport,MQK
Mildura Airport,MQL
Mardin Airport,MQM
"Mo i Rana Airport, RÃ¸ssvoll",MQN
Malam Airport,MQO
Kruger Mpumalanga International Airport,MQP
Moundou Airport,MQQ
Mosquera Airport,MQR
Mustique Airport,MQS
Sawyer International Airport,MQT
Mariquita Airport,MQU
Mostaganem Airport,MQV
Mekele Airport,MQX
Smyrna Airport,MQY
Margaret River Airport,MQZ
Misratah Airport,MRA
Eastern WV Regional Airport/Shepherd Field,MRB
Maury County Airport,MRC
Alberto Carnevalli Airport,MRD
Mara Serena Lodge Airstrip,MRE
Mara Lodges Airport,MRE
Marfa Municipal Airport,MRF
Mareeba Airport,MRG
May River Airstrip,MRH
Merrill Field,MRI
Colon Airport,MRJ
Marco Island Executive Airport,MRK
Manari Airport,MRM
Foothills Regional Airport,MRN
Hood Airport,MRO
Marla Airport,MRP
Marinduque Airport,MRQ
Jose Maria Velasco Ibarra Airport,MRR
Marseille Provence Airport,MRS
Moroak Airport,MRT
Sir Seewoosagur Ramgoolam International Airport,MRU
Mineralnyye Vody Airport,MRV
Lolland Falster Maribo Airport,MRW
Mahshahr Airport,MRX
Monterey Peninsula Airport,MRY
Moree Airport,MRZ
Muskrat Dam Airport,MSA
Marigot Seaplane Base,MSB
Falcon Field,MSC
Mount Pleasant Airport,MSD
Kent International Airport,MSE
Mount Swan Airport,MSF
Masirah Air Base,MSH
Masalembo Airport,MSI
Misawa Air Base,MSJ
Northwest Alabama Regional Airport,MSL
Masi Manimba Airport,MSM
Dane County Regional Truax Field,MSN
Missoula International Airport,MSO
Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP
Minsk National Airport,MSQ
MuÅ Airport,MSR
Massena International Richards Field,MSS
Maastricht Aachen Airport,MST
Moshoeshoe I International Airport,MSU
Sullivan County International Airport,MSV
Massawa International Airport,MSW
Mossendjo Airport,MSX
Louis Armstrong New Orleans International Airport,MSY
Namibe Airport,MSZ
Matamata Glider Airport,MTA
Montelibano Airport,MTB
Selfridge Air National Guard Base Airport,MTC
Mount Sanford Station Airport,MTD
Monte Alegre Airport,MTE
Mizan Teferi Airport,MTF
Vila Bela da SantÃ­ssima Trindade Airport,MTG
The Florida Keys Marathon Airport,MTH
Mosteiros Airport,MTI
Montrose Regional Airport,MTJ
Makin Island Airport,MTK
Maitland Airport,MTL
Metlakatla Seaplane Base,MTM
Martin State Airport,MTN
Coles County Memorial Airport,MTO
Montauk Airport,MTP
Mitchell Airport,MTQ
Los Garzones Airport,MTR
Matsapha Airport,MTS
MinatitlÃ¡n/Coatzacoalcos National Airport,MTT
Montepuez Airport,MTU
Mota Lava Airport,MTV
Manitowoc County Airport,MTW
Metro Field,MTX
General Mariano Escobedo International Airport,MTY
Bar Yehuda Airfield,MTZ
Munda Airport,MUA
Maun Airport,MUB
Munich Airport,MUC
Flughafen MÃ¼nchen-Riem,MUC
Mueda Airport,MUD
Waimea Kohala Airport,MUE
Muting Airport,MUF
Mulege Airport,MUG
Mersa Matruh Airport,MUH
Muir Army Air Field (Fort Indiantown Gap) Airport,MUI
Mui River Airport,MUJ
Mauke Airport,MUK
Mumias Airport,MUM
MaturÃ­n Airport,MUN
Mountain Home Air Force Base,MUO
Mulga Park Airport,MUP
Muccan Station Airport,MUQ
Marudi Airport,MUR
JMSDF Minami Torishima Air Base,MUS
Muscatine Municipal Airport,MUT
Ghriss Airport,MUW
Multan International Airport,MUX
Mouyondzi Airport,MUY
Musoma Airport,MUZ
ReykjahlÃ­Ã° Airport,MVA
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
Monroe County Aeroplex Airport,MVC
Carrasco International /General C L Berisso Airport,MVD
Montevideo Chippewa County Airport,MVE
Dix-Sept Rosado Airport,MVF
Manetai Airport,MVI
Mulka Airport,MVK
Morrisville Stowe State Airport,MVL
Kayenta Airport,MVM
Mongo Airport,MVO
Fabio Alberto Leon Bentley Airport,MVP
Mogilev Airport,MVQ
Salak Airport,MVR
Mucuri Airport,MVS
Mataiva Airport,MVT
Musgrave Airport,MVU
MegÃ¨ve Altiport,MVV
Skagit Regional Airport,MVW
Minvoul Airport,MVX
Martha's Vineyard Airport,MVY
Masvingo International Airport,MVZ
Williamson County Regional Airport,MWA
Morawa Airport,MWB
Lawrence J Timmerman Airport,MWC
Mianwali Air Base,MWD
Merowe New Airport,MWE
Maewo-Naone Airport,MWF
Marawaka Airport,MWG
Grant County International Airport,MWH
Maramuni Airport,MWI
Matthews Ridge Airport,MWJ
Tarempa Airport,MWK
Mineral Wells Regional Airport,MWL
Mwadui Airport,MWN
Middletown Regional Airport,MWO
Mountain Airport,MWP
Magway Airport,MWQ
Motswari Airport,MWR
Moolawatana Airport,MWT
Mondulkiri Airport,MWV
Muan International Airport,MWX
Miranda Downs Airport,MWY
Mwanza Airport,MWZ
Manila Municipal Airport,MXA
Andi Jemma Airport,MXB
Monticello Airport,MXC
Marion Downs Airport,MXD
Laurinburg Maxton Airport,MXE
Maxwell Air Force Base,MXF
Marlboro Airport,MXG
Moro Airport,MXH
Mati National Airport,MXI
Minna Airport,MXJ
Mindik Airport,MXK
General Rodolfo SÃ¡nchez Taboada International Airport,MXL
Morombe Airport,MXM
Morlaix-Ploujean Airport,MXN
Malpensa International Airport,MXP
Moussoro Airport,MXR
Myrhorod Air Base,MXR
Maota Airport,MXS
Maintirano Airport,MXT
Mullewa Airport,MXU
MÃ¶rÃ¶n Airport,MXV
Mandalgobi Airport,MXW
Mora Airport,MXX
Mc Carthy Airport,MXY
Meixian Airport,MXZ
Moruya Airport,MYA
Mayumba Airport,MYB
Escuela Mariscal Sucre Airport,MYC
Malindi Airport,MYD
Miyakejima Airport,MYE
Montgomery-Gibbs Executive Airport,MYF
Mayaguana Airport,MYG
Murray Island Airport,MYI
Matsuyama Airport,MYJ
May Creek Airport,MYK
McCall Municipal Airport,MYL
Monkey Mountain Airport,MYM
Mareb Airport,MYN
Camballin Airport,MYO
Mary Airport,MYP
Mysore Airport,MYQ
Myrtle Beach International Airport,MYR
Moyale Airport,MYS
Myitkyina Airport,MYT
Mekoryuk Airport,MYU
Yuba County Airport,MYV
Mtwara Airport,MYW
Menyamya Airport,MYX
Miri Airport,MYY
Monkey Bay Airport,MYZ
Mayor PNP Nancy Flores Paucar Airport,MZA
MocÃ­mboa da Praia Airport,MZB
Mitzic Airport,MZC
MÃ©ndez Airport,MZD
Manatee Airport,MZE
Makung Airport,MZG
Amasya Merzifon Airport,MZH
Mopti Airport,MZI
Pinal Airpark,MZJ
Marakei Airport,MZK
La Nubia Airport,MZL
Metz-Frescaty (BA 128) Air Base,MZM
Sierra Maestra Airport,MZO
Motueka Airport,MZP
Mkuze Airport,MZQ
Mazar I Sharif Airport,MZR
Mostyn Airport,MZS
General Rafael Buelna International Airport,MZT
Muzaffarpur Airport,MZU
Mulu Airport,MZV
Mecheria Airport,MZW
Mossel Bay Airport,MZY
Marion Municipal Airport,MZZ
Narrabri Airport,NAA
Naracoorte Airport,NAC
Macanal Airport,NAD
Natitingou Airport,NAE
Banaina Airport,NAF
Dr. Babasaheb Ambedkar International Airport,NAG
Naha Airport,NAH
Annai Airport,NAI
Nakhchivan Airport,NAJ
Nakhon Ratchasima Airport,NAK
Nalchik Airport,NAL
Namlea Airport,NAM
Nadi International Airport,NAN
Nanchong Gaoping Airport,NAO
Naples International Airport,NAP
Qaanaaq Airport,NAQ
Puerto Nare Airport,NAR
Lynden Pindling International Airport,NAS
Governador AluÃ­zio Alves International Airport,NAT
Napuka Island Airport,NAU
NevÅehir Kapadokya Airport,NAV
Narathiwat Airport,NAW
Beijing Nanyuan Airport,NAY
Nana Airport,NAZ
Nambaiyufa Airport,NBA
Barranco Minas Airport,NBB
Begishevo Airport,NBC
Enfidha - Hammamet International Airport,NBE
New Orleans NAS JRB/Alvin Callender Field,NBG
Nambucca Heads Airport,NBH
San Blas Airport,NBL
AnnobÃ³n Airport,NBN
Jomo Kenyatta International Airport,NBO
Changbaishan Airport,NBS
Leeward Point Field,NBW
Nabire Airport,NBX
North Caicos Airport,NCA
Nice-CÃ´te d'Azur Airport,NCE
Nuevo Casas Grandes Airport,NCG
Nachingwea Airport,NCH
Necocli Airport,NCI
Sunchales Aeroclub Airport,NCJ
Newcastle Airport,NCL
Chenega Bay Airport,NCN
Quonset State Airport,NCO
San Carlos,NCR
Newcastle Airport,NCS
Guanacaste Airport,NCT
Nukus Airport,NCU
Annecy-Haute-Savoie-Mont Blanc Airport,NCY
Bandanaira Airport,NDA
Nouadhibou International Airport,NDB
Nanded Airport,NDC
Sumbe Airport,NDD
Mandera Airport,NDE
Ndalatandos Airport,NDF
Qiqihar Sanjiazi Airport,NDG
Namudi Airport,NDI
N'Djamena International Airport,NDJ
Namorik Atoll Airport,NDK
N'DÃ©lÃ© Airport,NDL
Mendi Airport,NDM
Nadunumu Airport,NDN
Nador International Airport,NDR
Sandstone Airport,NDS
Rundu Airport,NDU
Sanday Airport,NDY
Necochea Airport,NEC
Neftekamsk Airport,NEF
Negril Airport,NEG
Terney Airport,NEI
Nejjo Airport,NEJ
Nekemte Airport,NEK
Lakehurst Maxfield Field Airport,NEL
Whitehouse Naval Outlying Field,NEN
Chulman Airport,NER
Sam Neua Airport,NEU
Vance W. Amory International Airport,NEV
Lakefront Airport,NEW
Nefteyugansk Airport,NFG
Fallon Naval Air Station,NFL
Mata'aho Airport,NFO
Nafurah 1 Airport,NFR
Young Airport,NGA
Ningbo Lishe International Airport,NGB
Captain Auguste George Airport,NGD
N'GaoundÃ©rÃ© Airport,NGE
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,NGF
Ngau Airport,NGI
Nogliki Airport,NGK
Ngala Airport,NGL
Chubu Centrair International Airport,NGO
Ngari Gunsa Airport,NGQ
Nagasaki Airport,NGS
Norfolk Naval Station (Chambers Field),NGU
Manang Airport,NGX
Alameda Naval Air Station,NGZ
Nha Trang Air Base,NHA
Al Minhad Air Base,NHD
New Halfa Airport,NHF
Patuxent River Naval Air Station (Trapnell Field),NHK
Nushki Airport,NHS
RAF Northolt,NHT
Nuku Hiva Airport,NHV
Naval Outlying Field Barin,NHX
Brunswick Executive Airport,NHZ
Nimba Airport,NIA
Nikolai Airport,NIB
Nicosia International Airport,NIC
Camp Nifty Airport,NIF
Nikunau Airport,NIG
Niokolo-Koba Airport,NIK
Diori Hamani International Airport,NIM
Nioki Airport,NIO
Jacksonville Naval Air Station (Towers Field),NIP
Niaqornat Heliport,NIQ
Chase Field Industrial Airport,NIR
Simberi Airport,NIS
Niort-SouchÃ© Airport,NIT
Naiu Airport,NIU
Nioro du Sahel Airport,NIX
JMSDF Atsugi Air Base / Naval Air Facility Atsugi,NJA
Nizhnevartovsk Airport,NJC
Al Najaf International Airport,NJF
El Centro NAF Airport (Vraciu Field),NJK
Noonkanbah Airport,NKB
NouakchottâOumtounsy International Airport,NKC
Sinak Airport,NKD
Nanjing Lukou Airport,NKG
Naukati Bay Seaplane Base,NKI
N'Kolo-Fuma Airport,NKL
Nagoya Airport,NKM
Nankina Airport,NKN
Nukutepipi Airport,NKP
Nkongsamba Airport,NKS
ÅÄ±rnak Åerafettin ElÃ§i Airport,NKT
Nkaus Airport,NKU
Diego Garcia Naval Support Facility,NKW
Miramar Marine Corps Air Station - Mitscher Field,NKX
Yokangassi Airport,NKY
Simon Mwansa Kapwepwe International Airport,NLA
Lemoore Naval Air Station (Reeves Field) Airport,NLC
QuetzalcÃ³atl International Airport,NLD
Jerry Tyler Memorial Airport,NLE
Darnley Island Airport,NLF
Nelson Lagoon Airport,NLG
Ninglang Luguhu Airport,NLH
Nikolayevsk-na-Amure Airport,NLI
Norfolk Island International Airport,NLK
Nullagine Airport,NLL
Kneeland Airport,NLN
Ndolo Airport,NLO
Nelspruit Airport,NLP
Nicholson Airport,NLS
Xinyuan Nalati Airport,NLT
Santa Lucia Air Force Base,NLU
Mykolaiv International Airport,NLV
Namangan Airport,NMA
Daman Airport,NMB
Normans Cay Airport,NMC
Nightmute Airport,NME
San Miguel Airport,NMG
Fort McMurray / Mildred Lake Airport,NML
Nomane Airport,NMN
New Moon Airport,NMP
Nappa Merrie Airport,NMR
Namsang Airport,NMS
Namtu Airport,NMT
Kenitra Airport,NNA
Santa Ana Airport,NNB
Nangade Airport,NND
Nanning Wuxu Airport,NNG
Namutoni Airport,NNI
Naknek Airport,NNK
Nondalton Airport,NNL
Naryan Mar Airport,NNM
Connemara Regional Airport,NNR
Nan Airport,NNT
Nanuque Airport,NNU
Nunukan Airport,NNX
Nanyang Jiangying Airport,NNY
Nowra Airport,NOA
Nosara Airport,NOB
Ireland West Knock Airport,NOC
Norden-Norddeich Airport,NOD
Nogales International Airport,NOG
Noyabrsk Airport,NOJ
Xavantina Airport,NOK
Nomad River Airport,NOM
Nonouti Airport,NON
Naoro Airport,NOO
Sinop Airport,NOP
NorÃ°fjÃ¶rÃ°ur Airport,NOR
Fascene Airport,NOS
Marin County Airport - Gnoss Field,NOT
La Tontouta International Airport,NOU
Nova Lisboa Airport,NOV
Spichenkovo Airport,NOZ
Pensacola Naval Air Station/Forrest Sherman Field,NPA
Hawke's Bay Airport,NPE
Nipa Airport,NPG
Nephi Municipal Airport,NPH
New Plymouth Airport,NPL
Nanga Pinoh Airport,NPO
Napperby Airport,NPP
Novo Progresso Airport,NPR
Newport State Airport,NPT
San Pedro Airport,NPU
Mpanda Airport,NPY
Millington-Memphis Airport,NQA
Kingsville Naval Air Station,NQI
NiquelÃ¢ndia Airport,NQL
Presidente Peron Airport,NQN
Nottingham Airport,NQT
Reyes Murillo Airport,NQU
Naval Air Station Key West/Boca Chica Field,NQX
Newquay Cornwall Airport,NQY
Narrandera Airport,NRA
Naval Station Mayport (Admiral David L. Mcdonald Field),NRB
NASA Crows Landing Airport,NRC
Norderney Airport,NRD
Namrole Airport,NRE
Narrogin Airport,NRG
Grand Lake Regional Airport,NRI
NorrkÃ¶ping Airport,NRK
North Ronaldsay Airport,NRL
Nara Airport,NRM
Weeze Airport,NRN
JosÃ© Aponte de la Torre Airport,NRR
Naval Outlying Field Imperial Beach (Ream Field),NRS
Narita International Airport,NRT
Newry Airport,NRY
Bimini North Seaplane Base,NSB
Whiting Field Naval Air Station - North,NSE
Noshahr Airport,NSH
YaoundÃ© Nsimalen International Airport,NSI
Norilsk-Alykel Airport,NSK
Slayton Municipal Airport,NSL
Norseman Airport,NSM
Nelson Airport,NSN
Scone Airport,NSO
Nuussuaq Heliport,NSQ
Nakhon Si Thammarat Airport,NST
Noosa Airport,NSV
Sigonella Navy Air Base,NSY
Natadola Airport,NTA
Notodden Airport,NTB
Paradise Island Airport,NTC
Point Mugu Naval Air Station (Naval Base Ventura Co),NTD
Nantes Atlantique Airport,NTE
Nantong Airport,NTG
Stenkol Airport,NTI
Manti-Ephraim Airport,NTJ
Newcastle Airport,NTL
Normanton Airport,NTN
Agostinho Neto Airport,NTO
Noto Airport,NTQ
Del Norte International Airport,NTR
Kuini Lavenia Airport,NTT
Oceana Naval Air Station,NTU
Ranai Airport,NTX
Pilanesberg International Airport,NTY
Numbulwar Airport,NUB
En Nahud Airport,NUD
Nuremberg Airport,NUE
Castlereagh Lake Seaplane Base,NUF
Nuguria Airstrip,NUG
Nuiqsut Airport,NUI
Nukutavake Airport,NUK
Nulato Airport,NUL
Neom Airport,NUM
Nunapitchuk Airport,NUP
Moffett Federal Airfield,NUQ
Nullabor Motel Airport,NUR
Norsup Airport,NUS
Nakuru Airport,NUU
Whidbey Island Naval Air Station (Ault Field),NUW
Novy Urengoy Airport,NUX
Benito Salas Airport,NVA
Nueva Guinea Airport,NVG
Navoi Airport,NVI
Narvik Framnes Airport,NVK
Nervino Airport,NVN
Novo AripuanÃ£ Airport,NVP
Novgorod Airport,NVR
Nevers-Fourchambault Airport,NVS
Ministro Victor Konder International Airport,NVT
Neyveli Airport,NVY
MohÃ©li Bandar Es Eslam Airport,NWA
Norwich International Airport,NWI
Nowata Airport,NWT
Nowata Airport,NWT
Nyagan Airport,NYA
Nyeri Airport,NYE
Sunyani Airport,NYI
Nanyuki Airport,NYK
Nadym Airport,NYM
Nyngan Airport,NYN
Stockholm Skavsta Airport,NYO
Nyurba Airport,NYR
Naypyidaw Airport,NYT
Bagan Airport,NYU
Monywar Airport,NYW
Nzagi Airport,NZA
Maria Reiche Neuman Airport,NZC
NzÃ©rÃ©korÃ© Airport,NZE
Manzhouli Xijiao Airport,NZH
Chengjisihan Airport,NZL
North Island Naval Air Station-Halsey Field,NZY
Shank Air Base,OAA
Orange Airport,OAG
Shindand Airport,OAH
Bagram Air Base,OAI
Albert J Ellis Airport,OAJ
Metropolitan Oakland International Airport,OAK
Cacoal Airport,OAL
Oamaru Airport,OAM
El ArrayÃ¡n Airport,OAN
Marina Municipal Airport,OAR
Sharana Airstrip,OAS
XoxocotlÃ¡n International Airport,OAX
Camp Bastion Airport,OAZ
Obock Airport,OBC
Obano Airport,OBD
Okeechobee County Airport,OBE
Oberpfaffenhofen Airport,OBF
Ãbidos Airport,OBI
Sky Harbor Airport,OBK
Zoersel (Oostmalle) Airfield,OBL
Morobe Airport,OBM
Oban Airport,OBN
Tokachi-Obihiro Airport,OBO
Aubenas-ArdÃ¨che MÃ©ridional Airport,OBS
Kobuk Airport,OBU
Obo Airport,OBX
Ittoqqortoormiit Heliport,OBY
Ocean Reef Club Airport,OCA
Francisco De Orellana Airport,OCC
Ocean City Municipal Airport,OCE
Ocala International Airport - Jim Taylor Field,OCF
A L Mangham Jr. Regional Airport,OCH
Boscobel Aerodrome,OCJ
Boolgeeda,OCM
Oceanside Municipal Airport,OCN
Corisco International Airport,OCS
Aguas Claras Airport,OCV
Warren Field,OCW
Ouadda Airport,ODA
CÃ³rdoba Airport,ODB
Oakdale Airport,ODC
Oodnadatta Airport,ODD
Odense Airport,ODE
RAF Odiham,ODH
Ouanda DjallÃ© Airport,ODJ
Cordillo Downs Airport,ODL
Long Seridan Airport,ODN
Bodaybo Airport,ODO
Ord River Airport,ODR
Odessa International Airport,ODS
AJ Eisenberg Airport,ODW
Oudomsay Airport,ODY
O'Neal Airport,OEA
Rota Do SÃ¢ndalo Oecusse Airport,OEC
Oryol Yuzhny Airport,OEL
Vincent Fayks Airport,OEM
L O Simenstad Municipal Airport,OEO
ÃrnskÃ¶ldsvik Airport,OER
Antoine de Saint ExupÃ©ry Airport,OES
Offutt Air Force Base,OFF
Ouango Fitini Airport,OFI
ÃlafsfjÃ¶rÃ°ur Airport,OFJ
Karl Stefan Memorial Airport,OFK
Ofu Village Airport,OFU
Searle Field,OGA
Orangeburg Municipal Airport,OGB
Ogden Hinckley Airport,OGD
Ogeranang Airport,OGE
Kahului Airport,OGG
Eugene F. Correira International Airport,OGL
Ogubsucum Airport,OGM
Yonaguni Airport,OGN
Abengourou Airport,OGO
Bongor Airport,OGR
Ogdensburg International Airport,OGS
Ordu Giresun Airport,OGU
Ain el Beida Airport,OGX
Beslan Airport,OGZ
RNZAF Base Ohakea,OHA
Ambohibary Airport,OHB
Ohrid St. Paul the Apostle Airport,OHD
Gu-Lian Airport,OHE
Okha Airport,OHH
Oshakati Airport,OHI
Okhotsk Airport,OHO
Wyk auf FÃ¶hr Airport,OHR
Sohar Airport,OHS
Kohat Airport,OHT
OurilÃ¢ndia do Norte Airport,OIA
Lt Warren Eaton Airport,OIC
Splane Memorial Airport,OIL
Oshima Airport,OIM
Okushiri Airport,OIR
Oita Airport,OIT
Johnson County Executive Airport,OJC
Naha Airport,OKA
Orchid Beach Airport,OKB
Will Rogers World Airport,OKC
Okadama Airport,OKD
Okierabu Airport,OKE
Okaukuejo Airport,OKF
Okoyo Airport,OKG
RAF Cottesmore,OKH
Oki Global Geopark Airport,OKI
Okayama Momotaro Airport,OKJ
Kokomo Municipal Airport,OKK
Oksibil Airport,OKL
Okmulgee Regional Airport,OKM
Okondja Airport,OKN
Yokota Air Base,OKO
Oksapmin Airport,OKP
Okaba Airport,OKQ
Yorke Island Airport,OKR
Garden County Airport/King Rhiley Field,OKS
Oktyabrskiy Airport,OKT
Mokuti Lodge Airport,OKU
Okao Airport,OKV
Oakey Airport,OKY
Ãrland Airport,OLA
Olbia Costa Smeralda Airport,OLB
Senadora Eunice Micheles Airport,OLC
"Dewitt Field,Old Town Municipal Airport",OLD
L M Clayton Airport,OLF
Olare Orok Airfield,OLG
Rif Airport,OLI
North West Santo Airport,OLJ
Fuerte Olimpo Airport,OLK
Oyo Ollombo Airport,OLL
Olympia Regional Airport,OLM
Colonia Sarmiento Airport,OLN
Olomouc Airport,OLO
Olympic Dam Airport,OLP
Olsobip Airport,OLQ
Salerno Airport,OLR
Nogales International Airport,OLS
Olive Branch Airport,OLV
Olkiombo Airport,OLX
Olyokminsk Airport,OLZ
Eppley Airfield,OMA
Omboue Hopital Airport,OMB
Ormoc Airport,OMC
Oranjemund Airport,OMD
Nome Airport,OME
King Hussein Air College,OMF
Omega Airport,OMG
Urmia Airport,OMH
Omidiyeh Airport,OMI
Omak Airport,OMK
Omkalai Airport,OML
Marmul Airport,OMM
Osmanabad Airport,OMN
Mostar International Airport,OMO
Oradea International Airport,OMR
Omsk Central Airport,OMS
Preah Vinhear Airport,OMY
Ononge Airport,ONB
Ondangwa Airport,OND
Mornington Island Airport,ONG
Moanamani Airport,ONI
Odate Noshiro Airport,ONJ
Olenyok Airport,ONK
The O'Neill Municipal John L Baker Field,ONL
Ontario Municipal Airport,ONO
Newport Municipal Airport,ONP
Zonguldak Airport,ONQ
Monkira Airport,ONR
Onslow Airport,ONS
Ontario International Airport,ONT
Ono-i-Lau Airport,ONU
Enrique Adolfo Jimenez Airport,ONX
Toksook Bay Airport,OOK
Gold Coast Airport,OOL
Cooma Snowy Mountains Airport,OOM
Mooraberree Airport,OOR
Onotoa Airport,OOT
KÃ³pasker Airport,OPA
Open Bay Airport,OPB
Miami-Opa Locka Executive Airport,OPF
Oenpelli Airport,OPI
Francisco de SÃ¡ Carneiro Airport,OPO
Presidente JoÃ£o Batista Figueiredo Airport,OPS
Balimo Airport,OPU
Opuwa Airport,OPW
OrÃ¡n Airport,ORA
Ãrebro Airport,ORB
Orocue Airport,ORC
Chicago O'Hare International Airport,ORD
OrlÃ©ans-Bricy (BA 123) Air Base,ORE
Norfolk International Airport,ORF
Zorg en Hoop Airport,ORG
Worcester Regional Airport,ORH
Orinduik Airport,ORJ
Cork Airport,ORK
Orlando Executive Airport,ORL
Sywell Aerodrome,ORM
Es Senia Airport,ORN
Yoro Airport,ORO
Orapa Airport,ORP
Yorketown Airport,ORR
Northway Airport,ORT
Juan Mendoza Airport,ORU
Robert (Bob) Curtis Memorial Airport,ORV
Ormara Airport,ORW
OriximinÃ¡ Airport,ORX
Paris-Orly Airport,ORY
Orange Walk Airport,ORZ
Oscoda Wurtsmith Airport,OSC
"Ãre Ãstersund Airport",OSD
Omora Airport,OSE
Ostafyevo International Airport,OSF
Ossima Airport,OSG
Wittman Regional Airport,OSH
Osijek Airport,OSI
Ol Seki Airstrip,OSJ
Oskarshamn Airport,OSK
Oslo Gardermoen Airport,OSL
Mosul International Airport,OSM
Osan Air Base,OSN
Osborne Mine Airport,OSO
Redzikowo Air Base,OSP
Ostrava Leos JanÃ¡Äek Airport,OSR
Osh Airport,OSS
Ostend-Bruges International Airport,OST
The Ohio State University Airport - Don Scott Field,OSU
Orsk Airport,OSW
Namsos HÃ¸knesÃ¸ra Airport,OSY
Koszalin Zegrze Pomorskie,OSZ
Bol Airport,OTC
Contadora Airport,OTD
Southwest Oregon Regional Airport,OTH
Pitu Airport,OTI
Otjiwarongo Airport,OTJ
Tillamook Airport,OTK
Boutilimit Airport,OTL
Ottumwa Regional Airport,OTM
Ed-Air Airport,OTN
Henri CoandÄ International Airport,OTP
Coto 47 Airport,OTR
Anacortes Airport,OTS
Andre Maggi Airport,OTT
Otu Airport,OTU
Ontong Java Atoll Airstrip,OTV
Oria Airport,OTY
Ralph Wien Memorial Airport,OTZ
Ouagadougou Airport,OUA
Angads Airport,OUD
Ouesso Airport,OUE
Ouahigouya Airport,OUG
Oudtshoorn Airport,OUH
Outer Skerries Airport,OUK
Oulu Airport,OUL
Oum Hadjer Airport,OUM
University of Oklahoma Westheimer Airport,OUN
Batouri Airport,OUR
Ourinhos Airport,OUS
Bousso Airport,OUT
Tazadit Airport,OUZ
Bekily Airport,OVA
Tolmachevo Airport,OVB
Asturias Airport,OVD
Oroville Municipal Airport,OVE
Overberg Airport,OVG
El Tuqui Airport,OVL
Olavarria Airport,OVR
Sovetskiy Airport,OVS
